SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -62, Beacon : 1
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 1
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 2
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 2
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 3
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 3
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 4
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 4
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 5
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 5
SSID : [air purifier]_E30AJT1013050N, BSSID : 88:57:1D:4B:E1:34, ch : 1 (2412MHz, 2.4GHz), PWR : -80, Beacon : 1
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 6
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -62, Beacon : 6
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 7
